Question;a;b;c;d;Answer;Explanation
In 2015 a new North Korean schools curriculum reportedly included that leader Kim Jong-un learnt to drive age;3;7;10;35;3;3
What version of the Gran Turismo video race-driving game launched end-2013;6;9; 2.5i;  4.2XLS;6;6
What is the cube root of 343;7;8;9;11;7;7
The movie Toy Story was how many years old in 2015;15;20;25;30;20;20
What is the international dialling code for Egypt;20;30;40;50;20;20
Name Adele's record-breaking 2015 album;25;24;23;22;25;25
As at 2012 the European Union comprises how many member states;12;17;22;27;27;27
Celebrity chef Gordon Ramsey celebrated what birthday in 2015;27;49;59;83;49;49
How many years old was the McDonalds fast food company in 2015;20;40;60;80;60;60
What is the international dialling code for Australia;31;41;51;61;61;61
How many countries competed in the Glasgow 2014 Commonwealth Games;29;37;46;71;71;71
Frank Sinatra would have celebrated which birthday in 2015;60;80;100;150;100;100
According to 2014 Twitter statistics, how many million tweets are sent every day;5;50;500;5;500;500
Which country joined the EU in 2013; Croatia (bonus point - what number member; 12th; 19th; 28th;  36th;  36th
An internet picture of a dress baffled people in early 2015, being which two of these colour combinations; Red/pink; Green/orange; White/gold; Yellow/copper;  Blue/black;  Blue/black
What dating app caused problems for itself in 2015 when increasing its charges; Finder; Winder; Tinder; Minder;  Hinder;  Hinder
Tian Tian and Yang Guang are; Pandas; Perfumes; Triad gangsters; Beijing subway stations;  Korean search engines;  Korean search engines
RIM's 2012-launched smartphone is called the BlackBerry;5;7;10;17;10;10
How many miles is the London orbital M25 motorway;27;54;89;117;117;117
The velocity of 67P, the first comet to be landed on by an earthly craft in Nov 2014, was approx (what?) km/hr;135;1,35;13,5;135;135; 135,000km/hr
In China in 2015 the record for the longest mating session between two giant pandas was broken at; 3 minutes; 18 minutes; 2 hours;  27 hours; 18 minutes; 18 minutes
In 2015 Japan lowered its voting age from what to what; 21-19; 20-18; 18-16; 23-20; 20-18; 20-18
At its nearest the Moon is roughly how many thousands of miles from Earth;222;555;888;1,111;222; 222 (c.220,000 miles)
